,#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
0,1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,T-Series,270000000,2.62E+11,21390
1,2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,SET India,175000000,1.67E+11,141825
2,3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,Zee Music Company,109000000,67947654327,11620
3,4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,Goldmines,98400000,29544900453,8777
4,5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,Sony SAB,94100000,1.17E+11,88357
5,6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,Zee TV,82200000,92162638821,180147
6,7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,Shemaroo Filmi Gaane,69000000,29615926134,8668
7,8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,Colors TV,74500000,72590793769,157742
8,9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,ChuChu TV Nursery Rhymes & Kids Songs,92000000,51672705271,793
9,10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,Tips Official,67300000,39803823398,6042
10,11,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,Sony Music India,61100000,32559849843,4873
11,12,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,Aaj Tak,66100000,32804118963,377090
12,13,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,YRF,60800000,41955042885,4154
13,14,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,Infobells - Hindi,63300000,36828994635,687
14,15,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M,Shemaroo,54200000,24843581555,12589
15,16,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,Speed Records,44400000,29270595933,11591
16,17,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M,Voot Kids,47600000,22908933011,6022
17,18,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,Ishtar Music,45800000,19711150362,4648
18,19,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,Goldmines Gaane Sune Ansune,42700000,19315556657,3852
19,20,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,T-Series Apna Punjab,36900000,23977632711,8634
20,21,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.20%,India,Video Gaming,10.1M,Total Gaming,42700000,4362400117,505
21,22,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,ABP NEWS,44400000,17712672876,392311
22,23,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.80%,India,,9.9M,Desi Music Factory,33900000,10665869254,240
23,24,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,T-Series Bollywood Classics,41400000,27173274447,2066
24,25,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,Saregama Music,42800000,20265915821,8976
25,26,Rajshri @UCEKWXRsfUHkan-D_ljU8Asw,31.9M,-,India,,9.6M,Rajshri,36600000,16805981036,4477
26,27,IndiaTV @UCttspZesZIDEwwpVIgoZtWQ,31.6M,-,India,,9.5M,IndiaTV,42300000,20811264408,310431
27,28,Eros Now Music @UCX52tYZiEh_mHoFja3Veciw,31.1M,-,India,,9.3M,Eros Now Music,34100000,17877405316,9730
28,29,MR. INDIAN HACKER @UCSiDGb0MnHFGjs4E2WKvShw,29.8M,-,India,,8.9M,MR. INDIAN HACKER,41200000,7178946285,1032
29,30,Zee News @UCIvaYmXn910QMdemBG3v1pQ,28.7M,-,India,,8.6M,Zee News,36700000,22243127541,181337
30,31,Techno Gamerz @UCX8pnu3DYUnx8qy8V_c6oHg,28.1M,0.90%,India,News Video Gaming,8.4M,Techno Gamerz,41500000,12127717154,1046
31,32,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27.6M,-,India,,8.3M,WowKidz,37000000,19881724469,8516
32,33,infobells - Tamil @UCHcn4Ux-sO9nzNu7rDsoQLg,27.1M,-,India,Marketing and Advertising Education,8.1M,infobells - Tamil,32000000,20018773561,663
33,34,infobells - Telugu @UCHvoq_rGmOKJKGId1nD1V4Q,26.5M,-,India,,8M,infobells - Telugu,32200000,17576782269,613
34,35,BB Ki Vines @UCqwUrj10mAEsqezcItqvwEw,25.5M,6%,India,Education Celebrity Business and Finance,7.7M,BB Ki Vines,26400000,4986213703,192
35,36,Shemaroo Movies @UCBOmfqgTZi7yDp4-3Lr_3lA,22.6M,-,India,,6.8M,Shemaroo Movies,33000000,9102589809,3438
36,37,White Hill Music @UCopY0NAzASqmD6eVaRj2TFQ,22.4M,-,India,,6.7M,Ishtar Punjabi,24000000,12034805214,6454
37,38,Technical Guruji @UCOhHO2ICt0ti9KAh-QHvttQ,22.2M,-,India,,6.7M,Technical Guruji,23600000,3717884364,5510
38,39,Venus Movies @UCpcsv3Ow-8IhoUGDEfPetsQ,21.8M,-,India,,6.5M,Venus Movies,25800000,6171206412,1981
39,40,Wave Music Bhojpuri @UCYLlkv4hivYJlOk6Lo-RHNQ,21.8M,-,India,,6.5M,Wave Music Bhojpuri,24800000,14433752269,23889
40,41,Crazy XYZ @UCebC4x5l2-PQxg46Ucv9CsA,21.7M,1.30%,India,,6.5M,Crazy XYZ,30800000,9074988884,1368
41,42,Dushyant kukreja @UCo6y9hnRawAqtyWhRhblXqg,21.3M,-,India,,6.4M,Dushyant kukreja,43400000,26576932364,1227
42,43,Pen Movies @UC3ar28GS6o1p0m_wabfk2zw,21.1M,-,India,Celebrity,6.3M,Pen Movies,27500000,8196540184,1758
43,44,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20.8M,-,India,,6.2M,Ultra Movie Parlour,26800000,5530525399,2002
44,45,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20.6M,-,India,Celebrity,6.2M,Netflix India,24200000,10124010972,4740
45,46,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20.5M,-,India,,6.2M,Dr. Vivek Bindra: Motivational Speaker,21200000,1938528174,1423
46,47,Goldmines Cineplex @UCCrw5RBWF9i8VPt4IxL8IsQ,20.4M,-,India,Celebrity,6.1M,Goldmines Cineplex,25100000,3293005219,4440
47,48,StarPlus @UC-LPIU24bQXVljUXivKEeRQ,20.1M,-,India,,6M,StarPlus,45300000,46349700145,95945
48,49,DLS News @UCw0ry7cLRUnq3Oaszlhgqfg,19M,-,India,,5.7M,DLS News,21100000,2823004799,5830
49,50,Heidi & Zidane बच्चों की कहानियाँ @UCC9Iz-AebxsyVF4iZagOtwA,18.9M,-,India,,5.7M,Heidi & Zidane बच्चों की कहानियाँ,19600000,13890267179,817
50,51,Green Gold TV - Official Channel @UCiBigY9XM-HaOxUc269ympg,18.7M,-,India,,5.6M,Green Gold TV - Official Channel,21100000,10173991887,1892
51,52,Khan GS Research Centre @UCatL-c6pmnjzEOHSyjn-sHA,18.2M,3.80%,India,,5.5M,Khan GS Research Centre,23300000,2359563129,380
52,53,etvteluguindia @UCSs9H1cyB3OHdy8wkit8ZKg,17.8M,-,India,Celebrity Business and Finance Education Television,5.3M,etvteluguindia,21300000,26221403354,143470
53,54,Sun TV @UCBnxEdpoZwstJqC1yZpOjRA,17.6M,-,India,,5.3M,Sun TV,27700000,29636970991,96136
54,55,Triggered Insaan @UCfLuT3JwLx8rvHjHfTymekw,17.5M,-,India,Books,5.3M,Triggered Insaan,22500000,4131223453,347
55,56,Dangal TV Channel @UCNzmmbXIbMzlqE8nD1PBXfg,17.3M,-,India,,5.2M,Dangal TV Channel,35400000,24468721553,33257
56,57,Stubborn Facts @UCJZ5gFXzSZ9i-R1HEnS8U_A,17.3M,-,India,Celebrity,5.2M,Stubborn Facts,17100000,906596615,310
57,58,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17.1M,5.90%,India,,5.1M,Sidhu Moose Wala,24800000,7722654476,116
58,59,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17.1M,1%,India,,5.1M,Village Cooking Channel,25300000,7546686538,241
59,60,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16.9M,-,India,,5.1M,Busy Fun Ltd,22800000,9573480714,258
60,61,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16.7M,-,India,,5M,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,22700000,8176113122,266
61,62,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16.6M,-,India,,5M,Wow Kidz Action,23400000,10182688789,4433
62,63,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16.1M,-,India,,4.8M,Prajapati News,17300000,1067882020,1760
63,64,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15.9M,-,India,,4.8M,ZappyToons - Hindi Nursery Rhymes and Stories,21400000,9759587874,559
64,65,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15.8M,0.40%,India,Celebrity,4.7M,Aayu and Pihu Show,18000000,10676303050,558
65,66,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15.7M,-,India,Video Gaming,4.7M,RKD Studios,23500000,5907124066,959
66,67,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15.7M,-,India,,4.7M,And TV,22000000,19581851609,50085
67,68,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15.5M,-,India,,4.7M,SriBalajiMovies,18800000,10968600198,26085
68,69,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15.2M,-,India,,4.6M,Taarak Mehta Ka Ooltah Chashmah,24200000,19169466727,10669
69,70,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15.1M,-,India,,4.5M,NDTV India,17400000,7930740985,124847
70,71,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15M,-,India,,4.5M,Volga Video,16700000,9011884094,6158
71,72,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15M,10.30%,India,,4.5M,Harsh Beniwal,16000000,1953527592,169
72,73,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14.5M,-,India,,4.4M,Fun For Kids TV - Hindi Rhymes,19900000,8884459465,195
73,74,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14.4M,-,India,Video Gaming,4.3M,Gyan Gamingㅤ,16500000,2623124695,3790
74,75,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14.4M,-,India,,4.3M,Team Films Bhojpuri,16400000,6866292648,20094
75,76,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14.3M,4.30%,India,,4.3M,Shorts Break,41400000,28845488643,639
76,77,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14.2M,-,India,,4.3M,SRK MUSIC,17300000,7168575099,5287
77,78,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14M,-,India,,4.2M,Mazhavil Manorama,18700000,20635511444,112587
78,79,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14M,-,India,,4.2M,DM - Desi Melodies,19400000,6968020542,199
79,80,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13.9M,-,India,,4.2M,ZEE5,15800000,20439291649,133481
80,81,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13.8M,-,India,,4.1M,Sony Music South,17500000,12727076225,3573
81,82,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13.8M,0.10%,India,Celebrity,4.1M,MY FAMILY,17300000,6895159058,339
82,83,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13.5M,-,India,,4.1M,Online Job,13600000,522971567,1179
83,84,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13.5M,-,India,,4.1M,infobells,14300000,5538242076,592
84,85,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13.3M,-,India,,4M,The MriDul,17700000,5446260249,200
85,86,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13.2M,0.20%,India,,4M,MyMissAnand,13800000,5266629415,431
86,87,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13.2M,0.10%,India,Fashion Beauty,4M,Anaysa,13600000,3606047852,620
87,88,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13.1M,-,India,,3.9M,NishaMadhulika,14300000,3211897104,2272
88,89,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13M,-,India,,3.9M,ETV Jabardasth,14800000,14760948825,11941
89,90,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13M,-,India,Video Gaming,3.9M,Mythpat,15300000,3526701760,398
90,91,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13M,0.50%,India,,3.9M,Desi Gamers,15500000,2483237405,1424
91,92,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13M,-,India,,3.9M,Zee Bangla,16900000,11260129184,143718
92,94,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12.8M,-,India,,3.8M,CookingShooking Hindi,13400000,1873566233,393
93,95,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12.7M,-,India,,3.8M,Zee Telugu,15800000,12647517839,162421
94,96,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12.7M,-,India,,3.8M,Dear Sir,18200000,1720981931,850
95,97,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12.6M,-,India,,3.8M,T-Series Hamaar Bhojpuri,18300000,9088520266,10439
96,98,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12.6M,-,India,,3.8M,Health Time,12400000,1021153531,2167
